customer_id,first_name,last_name,email,phone,created_at,loyalty_status
1,Angela,Lane,angela.lane1@example.com,1953277700,2024-12-27T13:57:58,silver
2,Marcus,Bush,marcus.bush2@example.com,0207140195,2024-02-19T21:36:22,gold
3,Alison,Bryant,alison.bryant3@example.com,9857027709,2025-01-16T23:15:08,bronze
4,Caitlin,Newton,caitlin.newton4@example.com,5767338473,2024-12-02T12:18:45,bronze
5,Steven,Santos,steven.santos5@example.com,0734273769,2025-06-15T16:58:23,bronze
6,Jonathan,Smith,jonathan.smith6@example.com,4035616055,2025-04-02T20:20:55,silver
7,Abigail,West,abigail.west7@example.com,5907700410,2024-05-23T08:35:33,silver
8,Dennis,Tanner,dennis.tanner8@example.com,7963399781,2024-09-18T04:50:39,bronze
9,David,Edwards,david.edwards9@example.com,5102769455,2025-02-09T12:02:07,bronze
10,Jessica,Grant,jessica.grant10@example.com,9985050168,2025-01-31T22:02:02,bronze
11,Shannon,Reyes,shannon.reyes11@example.com,9992597525,2024-11-20T22:34:28,bronze
12,Lindsey,Cox,lindsey.cox12@example.com,4858959708,2024-01-06T14:06:06,bronze
13,Kristin,Brown,kristin.brown13@example.com,3600871400,2024-04-01T19:21:25,gold
14,Norman,Smith,norman.smith14@example.com,6083984919,2025-09-13T09:41:38,silver
15,Dennis,Fox,dennis.fox15@example.com,7658337919,2024-09-27T12:28:04,bronze
16,Sarah,Noble,sarah.noble16@example.com,0786393402,2023-11-22T20:41:40,bronze
17,Paul,Jackson,paul.jackson17@example.com,2403226457,2025-09-05T20:23:37,silver
18,Linda,Williams,linda.williams18@example.com,9986556019,2025-04-26T21:47:21,bronze
19,Monica,Browning,monica.browning19@example.com,6423472938,2024-10-22T06:19:29,gold
20,Kimberly,Williams,kimberly.williams20@example.com,6207317133,2025-02-14T00:53:49,platinum
21,George,Chen,george.chen21@example.com,9361083709,2023-11-20T19:45:53,bronze
22,Lisa,Archer,lisa.archer22@example.com,8347745590,2024-01-06T01:39:27,bronze
23,Brittany,Spence,brittany.spence23@example.com,2619262735,2025-02-27T04:02:49,platinum
24,Christopher,Bryan,christopher.bryan24@example.com,8008632864,2025-03-01T18:03:50,bronze
25,Rachel,Arroyo,rachel.arroyo25@example.com,1897073591,2024-11-18T19:35:25,platinum
